,Temp (F),Wind (mph),Precip (in),Moon Illum %,Total Points Scored
Temp (F),1.0,-0.12,-0.05,0.04,0.42
Wind (mph),-0.12,1.0,0.16,-0.12,0.15
Precip (in),-0.05,0.16,1.0,-0.07,-0.01
Moon Illum %,0.04,-0.12,-0.07,1.0,0.25
Total Points Scored,0.42,0.15,-0.01,0.25,1.0
